MMM
AOS
ABT
ABBV
ACN
ATVI
ADM
ADBE
ADP
AES
AFL
A
APD
AKAM
ALK
ALB
ARE
ALGN
LNT
ALL
GOOG
MO
AMZN
AMD
AEE
AEP
AXP
AIG
AMT
AWK
AMP
ABC
AME
AMGN
APH
ADI
ANSS
AON
APA
AAPL
AMAT
ACGL
AJG
AIZ
T
ATO
ADSK
AZO
AVB
AVY
BDX
BRK.B
BIO
TECH
BIIB
BLK
BK
BWA
BXP
BSX
BMY
AVGO
BR
BRO
BF.B
BG
CHRW
CDNS
CZR
CPT
COF
CAH
KMX
CCL
CAT
CBOE
CDW
CE
CNC
CNP
CF
CRL
SCHW
CHTR
CVX
CMG
CB
CHD
CI
CINF
CTAS
CSCO
C
CLX
CME
CMS
KO
CTSH
CL
CMCSA
CMA
CAG
COP
ED
STZ
COO
CPRT
GLW
CSGP
COST
CCI
CSX
CMI
CVS
DHI
DHR
DRI
DVA
DE
DAL
XRAY
DVN
DXCM
FANG
DLR
DFS
DISH
DIS
DG
DLTR
D
DPZ
DOV
DOW
DTE
DUK
DD
EMN
ETN
EBAY
ECL
EIX
EW
EA
LLY
EMR
ENPH
ETR
EOG
EPAM
EQT
EFX
EQIX
EQR
ESS
EL
RE
EXC
EXPE
EXPD
EXR
XOM
FFIV
FDS
FICO
FAST
FRT
FDX
FITB
FSLR
FE
FISV
FLT
FMC
F
FTNT
FOXA
FOX
BEN
FCX
GRMN
IT
GNRC
GD
GE
GIS
GM
GPC
GILD
GPN
GS
HAL
HIG
HAS
HCA
HSIC
HSY
HES
HOLX
HD
HON
HRL
HST
HPQ
HUM
HBAN
HII
IBM
IEX
IDXX
ITW
ILMN
INCY
IR
PODD
INTC
ICE
IFF
IP
IPG
INTU
ISRG
IVZ
IRM
JBHT
JKHY
JNJ
JCI
JPM
JNPR
K
KEY
KMB
KIM
KMI
KLAC
KR
LH
LRCX
LVS
LEN
LNC
LIN
LYV
LKQ
LMT
L
LOW
LYB
MTB
MRO
MPC
MKTX
MAR
MMC
MLM
MAS
MA
MKC
MCD
MCK
MDT
MRK
MET
MTD
MGM
MCHP
MU
MSFT
MAA
MHK
MOH
TAP
MDLZ
MPWR
MNST
MCO
MS
MOS
MSI
MSCI
NDAQ
NTAP
NFLX
NWL
NEM
NWSA
NWS
NEE
NKE
NI
NDSN
NSC
NTRS
NOC
NCLH
NRG
NUE
NVDA
NVR
NXPI
ORLY
OXY
ODFL
OMC
OKE
ORCL
PCAR
PKG
PH
PAYX
PNR
PEP
PKI
PFE
PCG
PM
PSX
PNW
PXD
PNC
POOL
PPG
PPL
PFG
PG
PGR
PLD
PRU
PEG
PSA
PHM
PWR
QCOM
DGX
RL
RJF
O
REG
REGN
RF
RSG
RMD
RHI
ROK
ROL
ROP
ROST
RCL
CRM
SBAC
SLB
STX
SEE
SRE
NOW
SHW
SPG
SWKS
SJM
SNA
SO
LUV
SWK
SBUX
STT
STLD
STE
SYK
SNPS
SYY
TMUS
TROW
TTWO
TRGP
TGT
TEL
TDY
TFX
TER
TSLA
TXN
TXT
TMO
TJX
TSCO
TDG
TRV
TRMB
TYL
TSN
USB
UDR
ULTA
UNP
UAL
UPS
URI
UNH
UHS
VRSN
VRSK
VRTX
V
WAB
WAT
WDC
GWW
WYNN
XEL
XYL
YUM
ZBRA
ZION
ZTS
