ATVI
ADBE
ADP
AKAM
ALGN
GOOGL
GOOG
AMZN
AMD
AAL
AMGN
ADI
ANSS
AAPL
AMAT
ACGL
ADSK
AXON
TECH
BIIB
BKNG
AVGO
CHRW
CDNS
CZR
CDW
CHTR
CINF
CTAS
CSCO
CME
CTSH
CMCSA
CPRT
CSGP
COST
CSX
XRAY
DXCM
FANG
DISH
DLTR
EBAY
EA
ENPH
EQIX
ETSY
EXPE
EXPD
FFIV
FAST
FITB
FSLR
FISV
FTNT
FOXA
FOX
GRMN
GILD
HAS
HSIC
HOLX
HBAN
IDXX
ILMN
INCY
PODD
INTC
INTU
ISRG
JBHT
JKHY
KLAC
KHC
LRCX
LKQ
MKTX
MAR
MTCH
MCHP
MU
MSFT
MDLZ
MPWR
MNST
NDAQ
NTAP
NFLX
NWSA
NWS
NDSN
NTRS
NVDA
NXPI
ORLY
ODFL
ON
PCAR
PAYX
PYPL
PEP
POOL
PFG
PTC
QRVO
QCOM
REGN
ROST
SBAC
STX
SWKS
SEDG
SBUX
STLD
SNPS
TMUS
TROW
TTWO
TSLA
TXN
TSCO
TRMB
ULTA
VRSN
VRSK
VRTX
WBA
WDC
WYNN
XEL
ZBRA
ZION
